"Day","Hour","DL_5k"
"20/07/24","12:11:47","574.03"
"20/07/24","12:12:21","574.18"
"20/07/24","12:12:55","574.35"
"20/07/24","12:13:30","574.5"
"20/07/24","12:14:04","574.71"
"20/07/24","12:14:39","574.88"
"20/07/24","12:15:13","575.06"
"20/07/24","12:15:47","575.26"
"20/07/24","12:16:21","575.45"
"20/07/24","12:16:56","575.68"
"20/07/24","12:17:30","575.84"
"20/07/24","12:18:04","576.03"
"20/07/24","12:18:38","576.15"
"20/07/24","12:19:12","576.29"
"20/07/24","12:19:47","576.5"
"20/07/24","12:20:21","576.67"
"20/07/24","12:20:55","576.86"
"20/07/24","12:21:30","577.02"
"20/07/24","12:22:04","577.23"
"20/07/24","12:22:39","577.38"
"20/07/24","12:25:05","578.13"
